Ref. Charge Code,Category,NCIC Category,Long Description,
570.224-001Y202026,Fraud,26,TRAFFICKING IN STOLEN IDENTITIES,
407.433-002N202026,Fraud,26,KNOWINGLY DEFRAUD/INTENT TO DEFRAUD CREDIT CARD HOLDER-SALES RECEIPT OR BY ELECTRONIC MEANS WITHOUT CONSENT - 1ST OFFENSE,
407.1138-001Y202026,Fraud,26,WILLFULLY/KNOWINGLY PROVIDE FALSE IDENTITY/FALSE OR MISLEADING INFORMATION IN SUBJECT LINE OF ANY COMMERCIAL ELECTRONIC MAIL MESSAGE,
407.1138-002Y202026,Fraud,26,"WILLFULLY/KNOWINGLY FAIL TO USE ""ADV:"" AS 1ST FOUR CHARACTERS IN SUBJECT LINE OF UNSOLICITED COMMERCIAL ELECTRONIC MAIL MESSAGE",
407.1138-003Y202026,Fraud,26,"WILLFULLY/KNOWINGLY FAIL TO USE ""ADV:ADLT"" AS 1ST EIGHT CHARACTERS IN SUBJECT LINE OF UNSOLICITED COMMERCIAL ELECTRONIC MAIL MESSAGE CONTAINING OBSCENE MATERIAL",
407.1138-004Y202026,Fraud,26,WILLFULLY/KNOWINGLY TRANSMIT UNSOLICITED COMMERCIAL ELECTRONIC MAIL MESSAGE AFTER BEING NOTIFIED NOT TO SEND FURTHER SUCH MESSAGES,
409.5501-001Y202026,Fraud,26,"ENGAGE IN FRAUD OR MISREPRESENTATION IN THE OFFER, SALE, OR PURCHASE OF SECURITIES",
409.5505-001Y202026,Fraud,26,MAKE FALSE OR MISLEADING STATEMENT OR MATERIAL OMISSION IN A RECORD USED IN AN ACTION OR PROCEEDING,
409.5508-001Y202026,Fraud,26,CRIMINAL SECURITIES FRAUD OR VIOLATION - ELDERLY/DISABLED,
409.5508-002Y202026,Fraud,26,CRIMINAL SECURITIES FRAUD OR VIOLATION,
409.4401-001Y202026,Fraud,26,TRANSACT BUSINESS AS A BROKER OR DEALER WITHOUT BEING REGISTERED OR EXEMPT FROM REGISTRATION,
367.045-003N202026,Fraud,26,FRAUDULENTLY PLEDGING OR SELLING PROPERTY (VALUE LESS THAN $50),
409.3301-001Y202026,Fraud,26,"OFFER OR SELL SECURITY THAT IS NOT A FEDERALLY COVERED SECURITY, AN EXEMPT SECURITY OR A REGISTERED SECURITY",
339.541-001N202026,Fraud,26,FRAUDULENTLY OBTAIN OR ATTEMPT TO OBTAIN REAL ESTATE APPRAISER'S LICENSE OR PRACTICE AS AN APPRAISER WITHOUT A LICENSE,
339.546-001N202026,Fraud,26,VIOLATES OR PERSONALLY PARTICIPATES OR IS AN ACCESSORY TO ANY VIOLATION OF SECTIONS 339.500-339.549,
407.302-001N202026,Fraud,26,"PURCHASE METAL BELONGING TO CEMETERY, POLITICAL SUBDIVISION, COOPERATIVE OR UTILITY",
256.477-001N202026,Fraud,26,FRAUD RELATED TO GEOLOGICAL WORK,
256.483-001N202026,Fraud,26,ALTERING GEOLOGIST WORK - OPERATION WITH EXPIRED/SUSPENDED/REVOKED REGISTRATION,
429.012-002N202026,Fraud,26,FAILURE TO PROVIDE NOTICE REFERENCING MECHANIC'S LIEN,
700.045-001N202026,Fraud,26,VIOLATE REGISTRATION/COMPLIANCE WITH CODE IN MANUFACTURE AND SALE OF MOBILE HOMES,
411.611-001Y202026,Fraud,26,WAREHOUSEMAN ISSUE OR AID IN ISSUING RECEIPT FOR GRAIN KNOWING IT HAS NOT BEEN RECEIVED OR IS NOT WITHIN HIS/HER CONTROL,
411.621-001Y202026,Fraud,26,WAREHOUSEMAN FRAUDULENTLY ISSUE/AID IN ISSUING A GRAIN RECEIPT CONTAINING A FALSE STATEMENT,
411.641-001Y202026,Fraud,26,WAREHOUSEMAN DELIVERS GRAIN KNOWING RECEIPT IS OUTSTANDING/UNCANCELLED WITHOUT OBTAINING POSSESSION OF RECEIPT,
411.778-001N202026,Fraud,26,FAILURE OF AGRICULTURAL WAREHOUSE OR GRAIN DEALER TO DISPLAY NOTIFICATION OF STATE AND/OR FEDERAL LICENSING STATUS,
411.661-001N202026,Fraud,26,PERSON/FIRM/CORPORATION OR OFFICER/AGENT - VIOLATION OF THE PROVISIONS OF CHAPTER 411 REGARDING GRAIN WAREHOUSING,
276.582-001N202026,Fraud,26,FAILURE OF GRAIN DEALER TO DISPLAY LICENSING NOTICE,
301.141-001N202026,Fraud,26,PHYSICIAN OR OTHER HEALTH CARE PRACTITIONER FALSELY VERIFY OR CERTIFY A DISABILITY FOR A LICENSE PLATE,
50.800-002Y202026,Fraud,26,WILLFULLY/KNOWINGLY MAKING A FALSE REPORT OF RECORD CONTAINED IN COUNTY FINANCE STATEMENT (2ND/3RD/4TH CLASS COUNTIES),
50.815-001Y202026,Fraud,26,"FALSELY CERTIFYING FACT/S COVERED BY COUNTY FINANCIAL STATEMENT (1ST CLASS, NONCHARTER COUNTIES)",
50.815-002Y202026,Fraud,26,"WILLFULLY/KNOWINGLY MAKE FALSE REPORT OF RECORD CONTAINED IN COUNTY FINANCE STATEMENT (1ST CLASS, NON CHARTER COUNTY)",
362.222-001N202026,Fraud,26,OFFICER OR EMPLOYEE OF BANK OR TRUST COMPANY - SETTLE CHECK OTHERWISE THAN AT PAR,
362.295-001N202026,Fraud,26,PRESIDENT/CASHIER/SECRETARY OF BANK OR TRUST COMPANY FAIL TO MAKE OR MAKE FALSE STATEMENT IN REPORT REQUIRED BY SECTION 362.295,
362.337-001N202026,Fraud,26,"OFFICER, DIRECTOR, CLERK, OR EMPLOYEE OF BANK OR TRUST COMPANY CONCEALING A DISCOUNTED LOAN WITH THE INTENT TO DEFRAUD",
375.144-001Y202026,Fraud,26,FRAUD/MISREPRESENT IN CONNECTION WITH OFFER/SALE/SOLICITATION/NEGOTIATION OF INSURANCE,
375.390-001Y202026,Fraud,26,USING FUNDS OF INSURANCE COMPANY FOR PRIVATE GAIN,
447.575-001N202026,Fraud,26,INTENTIONALLY MAKING A FALSE STATEMENT IN AN UNCLAIMED PROPERTY REPORT,
622.470-001Y202026,Fraud,26,FALSIFICATION OR DESTRUCTION OF CARRIER RECORDS OR FALSE STATEMENT TO THE DIVISION,
214.410-002Y202026,Fraud,26,WILLFULLY VIOLATE PROVISIONS OF SECTION 214.270-.410 REGARDING ENDOWED CARE FUND BY CEMETERY OPERATOR,
194.280-001Y202026,Fraud,26,FALSIFY/FORGE/CONCEAL/DEFACE/OBLITERATE AN ANATOMICAL GIFT DOCUMENT FOR FINANCIAL GAIN,
313.680-001Y202039,Gambling,39,RACING HORSES UNDER NON-REGISTERED NAME,
313.690-001Y202039,Gambling,39,VIOLATE SECTION 313.690 REGARDING GAMING/HORSE RACES,
313.830-008N202039,Gambling,39,LICENSEE EXCHANGE TOKENS ETC. FOR USE ON GAMBLING BOAT FOR ANYTHING OF VALUE EXCEPT WAGERS OR EXCHANGE OF MONEY OR PAY FOR FOOD OR DRINK,
375.350-001Y202026,Fraud,26,WILLFULLY MAKE FALSE STATEMENT IN APPLICATION BY INSURANCE COMPANY TO DIVISION OF INSURANCE TO PURCHASE ITS OWN STOCK,
378.638-002N202026,Fraud,26,SOLICITING MEMBERSHIP IN UNAUTHORIZED FRATERNAL BENEFIT SOCIETY,
313.700-001Y202039,Gambling,39,ADMINISTERING UNAUTHORIZED DRUGS TO A HORSE,
567.020-001Y202040,Prostitution,40,PROSTITUTION,
567.030-004Y202040,Prostitution,40,PATRONIZING PROSTITUTION - 18 YEARS OF AGE OR OLDER,
567.050-001Y202040,Prostitution,40,PROMOTING PROSTITUTION 1ST DEGREE,
567.020-003Y202040,Prostitution,40,ACTOR KNOWINGLY INFECTED WITH HIV PERFORMED AN ACT OF PROSTITUTION,
568.065-001Y202036,Sex Abuse,36,GENITAL MUTILATION OF A FEMALE CHILD,
305.100-001N202029,Property Damage,29,INTERFERE/TAMPER WITH AIRDROME/FLYING FIELD/AIRWAY OR LIGHTS/MARKERS OR OTHER EQUIPMENT,
566.147-004Y202036,Sex Abuse,36,FAIL TO NOTIFY SHERIFF OF PRIOR RESIDENCY WITHIN 1000 FEET OF A SCHOOL/CHILD CARE FACILITY - 1ST OFFENSE,
566.149-001Y202036,Sex Abuse,36,"SEX OFFENDER UNDER 566.149 PRESENT/LOITER W/IN 500' OF SCHOOL BUILDING, GROUNDS, OR CONVEYANCE TO TRANSPORT STUDENTS",
566.103-001Y202036,Sex Abuse,36,PROMOTING ONLINE SEXUAL SOLICITATION,
569.100-002Y202029,Property Damage,29,PROPERTY DAMAGE - 1ST DEGREE - DAMAGE TO MOTOR VEHICLE WITH INTENT TO STEAL AS SECOND OR SUBSEQUENT OFFENSE,
60.355-001N202029,Property Damage,29,"KNOWINGLY MOVE/REMOVE/DEFACE OR DESTROY BOUNDARY MARKER, BENCH MARK OR HORIZONTAL CONTROL MONUMENT",
447.560-001N202028,Stolen Property,28,VIOLATION OF PROVISIONS RELATING TO UNCLAIMED PROPERTY INFORMATION,
568.030-001Y202038,Family Crime,38,ABANDONMENT OF CHILD 1ST DEGREE,
568.032-001Y202038,Family Crime,38,ABANDONMENT OF CHILD 2ND DEGREE,
313.610-001Y202039,Gambling,39,FAILURE TO OBTAIN HORSE RACING TRACK LICENSE,
566.147-001Y202036,Sex Abuse,36,PRIOR OFFENDER RESIDE WITHIN 1000 FEET OF A SCHOOL OR CHILDCARE FACILITY AFTER CONVICTION OF OR PLEA TO A SPECIFIED OFFENSE - 2ND OR SUBSEQUENT OFFENSE,
573.025-002Y202037,Obscenity,37,PROMOTE CHILD PORNOGRAPHY TO A MINOR 1ST DEGREE,
573.035-002Y202037,Obscenity,37,PROMOTE CHILD PORNOGRAPHY TO MINOR 2ND DEGREE,
573.037-001Y202037,Obscenity,37,POSSESSION OF CHILD PORNOGRAPHY - 2ND/SUBSEQUENT OFFENSE OR POSSESS MORE THAN 20 PICTURES/ONE FILM/VIDEOTAPE,
568.060-004Y202038,Family Crime,38,ABUSE OR NEGLECT OF A CHILD  - SERIOUS EMOTIONAL OR PHYSICAL INJURY - NO SEXUAL CONTACT,
568.060-005Y202038,Family Crime,38,ABUSE OR NEGLECT OF A CHILD - 2ND OR SUBSEQUENT OFFENSE - NO SEXUAL CONTACT,
568.060-006Y202038,Family Crime,38,ABUSE OR NEGLECT OF A CHILD  - SERIOUS EMOTIONAL OR PHYSICAL INJURY - NO SEXUAL CONTACT,
568.070-001Y202038,Family Crime,38,UNLAWFUL TRANSACTION WITH CHILD,
575.080-001Y202048,Judicial Offense,48,MAKING FALSE REPORT,
43.600-001N202048,Judicial Offense,48,FILING FALSE REPORT ON HIGHWAY PATROL EMERGENCY TELEPHONE SYSTEM,
190.308-001N202048,Judicial Offense,48,"MISUSING ""911""",
167.023-001N202038,Family Crime,38,MAKING FALSE STATEMENT REGARDING PRIOR HISTORY FOR PURPOSES OF SCHOOL ENROLLMENT,
573.090-001N202037,Obscenity,37,FAILURE TO MAINTAIN PORNOGRAPHIC/MORBID/VIOLENT VIDEOS IN SEPARATE AREA/SALES OR RENTALS TO JUVENILES,
41.720-001Y202048,Judicial Offense,48,RESIST/AID IN RESISTING A FORCE ORDERED BY THE GOVERNOR TO EXECUTE LAWS/SUPPRESS INSURRECTION/REPEL INVASION,
575.210-001Y202049,Escape,49,"ESCAPE OR ATTEMPTED ESCAPE FROM CONFINEMENT WITH DEADLY WEAPON, DANGEROUS INSTRUMENT OR BY HOLDING HOSTAGE",
575.210-002Y202049,Escape,49,ESCAPE OR ATTEMPTED ESCAPE FROM DEPARTMENT OF CORRECTIONS,
573.025-001Y202037,Obscenity,37,PROMOTING CHILD PORNOGRAPHY 1ST DEGREE,
575.200-001Y202049,Escape,49,"ESCAPE OR ATTEMPTED ESCAPE FROM CUSTODY WITH DEADLY WEAPON, DANGEROUS INSTRUMENT OR BY HOLDING HOSTAGE",
575.230-001Y202049,Escape,49,AIDING ESCAPE OF PRISONER BY USING DEADLY WEAPON OR DANGEROUS INSTRUMENT,
575.230-002Y202049,Escape,49,AIDING ESCAPE OF PRISONER CONFINED FOR FELONY,
548.141-001Y202049,Escape,49,FUGITIVE FROM OUT OF STATE,
548.131-001Y202049,Escape,49,FUGITIVE FROM OUT OF STATE,
575.240-001Y202049,Escape,49,PERMITTING ESCAPE BY ALLOWING USE OF DEADLY WEAPON,
622.380-001N202050,Judicial Offense,50,FAILURE TO COMPLY WITH SUBPOENA OR ADMINISTRATIVE PROCEEDING,
622.490-001N202050,Judicial Offense,50,VIOLATION OF ANY LAW/PROVISION OF CONSTITUTION BY CARRIER/FAIL TO OBEY/AID IN FAILURE TO OBEY WHEN THERE IS NO OTHER PENALTY,
575.060-001Y202050,Judicial Offense,50,MAKING A FALSE DECLARATION,
392.330-001Y202050,Judicial Offense,50,VIOLATE SECTION 392.330 REGARDING REGULATION OF TELECOMMUNICATIONS COMPANIES BY PUBLIC SERVICE COMMISSION,
393.220-001Y202050,Judicial Offense,50,"VIOLATE SECTION 393.220 REGARDING REGULATION OF GAS, ELECTRIC, WATER OR SEWER COMPANIES BY PUBLIC SERVICE COMMISSION",
386.560-001Y202050,Judicial Offense,50,"VIOLATE SECTION 386.560 REGARDING RECORDKEEPING OF CORPORATION, PERSON OR PUBLIC UTILITY SUBJECT TO REGULATION BY PUBLIC SERVICE COMMISSION",
575.040-001Y202050,Judicial Offense,50,PERJURY IN CRIMINAL TRIAL TO SECURE CONVICTION OF MURDER,
575.040-002Y202050,Judicial Offense,50,PERJURY IN CRIMINAL TRIAL TO SECURE NON-MURDER FELONY CONVICTION,
575.130-001Y202050,Judicial Offense,50,SIMULATING LEGAL PROCESS,
82.817-001N202050,Judicial Offense,50,VIOLATION OF SERVICE OF PROCESS - AGENTS IN ST LOUIS CITY,
575.160-001Y202050,Judicial Offense,50,INTERFERENCE WITH LEGAL PROCESS,
575.120-002Y202050,Judicial Offense,50,FALSE IMPERSONATION,
575.280-001Y202050,Judicial Offense,50,"ACCEDING TO CORRUPTION - JUDGE, JUROR, MASTER, REFEREE OR ARBITRATOR",
21.360-001Y202050,Judicial Offense,50,RECORD VOTE OF MEMBER OF HOUSE OF REPRESENTATIVES BY OTHER THAN THE MEMBER,
575.290-001Y202050,Judicial Offense,50,IMPROPER COMMUNICATION,
575.310-001Y202050,Judicial Offense,50,MISCONDUCT IN SELECTING OR SUMMONING A JUROR,
590.195-001N202050,Judicial Offense,50,HOLDS A COMMISSION AS PEACE OFFICER - NOT LICENSED FOR SUCH,
590.195-002N202050,Judicial Offense,50,KNOWINGLY GRANTS/CONTINUES COMMISSION AS PEACE OFFICER WITHOUT VALID LICENSE,
590.195-003N202050,Judicial Offense,50,PURPOSELY VIOLATE PROVISIONS OF CHAPTER 590 (REGARDING PEACE OFFICERS),
409.109-001Y202050,Judicial Offense,50,VIOLATE ANY PROVISION OF SECTION 409.108 REGARDING INVESTIGATIONS/OTHER PROCEEDINGS,
576.030-001Y202050,Judicial Offense,50,OBSTRUCTING GOVERNMENT OPERATIONS,
483.165-001N202050,Judicial Offense,50,COURT CLERK FAILED TO PERFORM ACT OR DUTY REQUIRED BY LAW,
59.660-001N202050,Judicial Offense,50,WILLFULLY NEGLECT/REFUSE TO PERFORM ANY OF THE DUTIES REQUIRED OF RECORDER,
476.055-002N202050,Judicial Offense,50,KNOWINGLY RELEASING INFORMATION FROM CLOSED JUDICIAL RECORD,
217.720-001Y202050,Judicial Offense,50,PAROLE VIOLATION (FOR LAW ENFORCEMENT PURPOSES ONLY),
476.110-001Y202050,Judicial Offense,50,CONTEMPT OF COURT,
486.370-001N202050,Judicial Offense,50,MISCONDUCT OF NOTARY,
484.020-001N202050,Judicial Offense,50,PRACTICING LAW WITHOUT A LICENSE,
540.120-001N202050,Judicial Offense,50,VIOLATION OF GRAND JURY OATH,
544.665-003N202050,Judicial Offense,50,FAILURE TO APPEAR - INFRACTION/MUNICIPAL ORDINANCE,
221.040-001N202050,Judicial Offense,50,SHERIFF/JAILER REFUSE TO RECEIVE PRISONER FROM OTHER OFFICER/CONSTABLE,
576.070-001Y202001,Treason,1,TREASON,
571.107-002N202052,Weapons,52,FAILED TO LEAVE PREMISES WHEN ASKED BY PEACE OFFICER WHILE CARRYING CONCEALED WEAPON - 2ND OFFENSE,
571.107-003N202052,Weapons,52,FAILED TO LEAVE PREMISES WHEN ASKED BY POLICE OFFICER WHILE CARRYING A CONCEALED WEAPON - 1ST OFFENSE,
571.150-001Y202052,Weapons,52,POSSESSING OR USE METAL PENETRATING BULLET DURING THE COMMISSION OF CRIME,
571.015-001Y202052,Weapons,52,ARMED CRIMINAL ACTION,
571.121-001N202052,Weapons,52,FAIL TO CARRY CONCEALED CARRY PERMIT WITH CONCEALED FIREARM AND DISPLAY PERMIT AT REQUEST OF PEACE OFFICER,
571.030-001Y202052,Weapons,52,"DISCHARGE/SHOOT FIREARM AT OR FROM MOTOR VEHICLE/SHOOT AT PERSON, ANOTHER MOTOR VEHICLE, OR BUILDING/HABITABLE STRUCTURE- PERSISTENT OFFENDER",
571.030-002Y202052,Weapons,52,"DISCHARGE/SHOOT FIREARM AT OR FROM MOTOR VEHICLE/SHOOT AT PERSON, ANOTHER MOTOR VEHICLE, OR BUILDING/HABITABLE STRUCTURE- /PRIOR OFFENDER",
571.030-003Y202052,Weapons,52,AIDING/ABETTING A PERSON DISCHARGING/SHOOTING A FIREARM AT OR FROM A MOTOR VEHICLE - PHYSICAL INJURY OR DEATH,
571.030-004Y202052,Weapons,52,AIDING/ABETTING A PERSON DISCHARGING/SHOOTING A FIREARM AT OR FROM A MOTOR VEHICLE - 1ST OFFENSE,
571.030-005Y202052,Weapons,52,AIDING/ABETTING A PERSON DISCHARGING/SHOOTING A FIREARM AT OR FROM A MOTOR VEHICLE - PERSISTENT OFFENDER,
571.030-006Y202052,Weapons,52,AIDING/ABETTING A PERSON DISCHARGING/SHOOTING A FIREARM AT OR FROM A MOTOR VEHICLE - PRIOR OFFENDER,
195.400-001Y202035,Drugs,35,FAILURE TO OBTAIN PROPER IDENTIFICATION/MAKE REPORT OF DRUG TRANSFER - 1ST OFFENSE,
195.400-002Y202035,Drugs,35,FAILURE TO MAKE REPORT OF DRUG TRANSFER - 2ND OFFENSE,
195.244-001Y202035,Drugs,35,PROMOTING SALE OF DRUG PARAPHERNALIA OR IMITATION CONTROLLED SUBSTANCE,
311.060-001N202041,Liquor Laws,41,FAILURE OF LICENSEE TO REPORT EMPLOYMENT OF CONVICTED FELON,
571.050-001Y202052,Weapons,52,POSSESSION OF A DEFACED FIREARM,
221.111-001Y202052,Weapons,52,DELIVERY OR POSSESSION OF WEAPON AT COUNTY/PRIVATE JAIL/CORRECTIONAL CENTER,
571.107-001Y202052,Weapons,52,FAILED TO LEAVE PREMISES WHEN ASKED BY A PEACE OFFICER WHILE CARRYING CONCEALED WEAPON - 3RD OFFENSE,
311.300-001N202041,Liquor Laws,41,MINOR SELLING INTOXICATING LIQUOR,
311.300-002N202041,Liquor Laws,41,PERMIT MINOR TO SELL NON-INTOXICATING BEER,
311.360-001N202041,Liquor Laws,41,MISREPRESENTATION OF BRAND OF LIQUOR,
311.320-001N202041,Liquor Laws,41,MISREPRESENTATION OF AGE BY MINOR TO OBTAIN LIQUOR,
311.180-001N202041,Liquor Laws,41,MANUFACTURE OR SALE OF LIQUOR WITHOUT LICENSE,
311.220-001N202041,Liquor Laws,41,FAIL TO PAY COUNTY TREASURY OF PERMIT/LICENSE A FEE NOT EXCEEDING CORRESPONDING STATE FEE OR IN MUNICIPALITY A FEE NOT EXCEEDING 1 1/2 TIMES STATE FEE,
311.480-001Y202041,Liquor Laws,41,LIQUOR SALES WITHOUT LICENSE - PERMITTING CONSUMPTION BY MINOR/AFTER HOURS/ON SUNDAY,
311.580-001N202041,Liquor Laws,41,POSSESSION OF ILLEGAL OR UNTAXED LIQUOR ALCOHOL,
311.740-001N202041,Liquor Laws,41,MAINTAIN A PUBLIC NUISANCE INVOLVING INTOXICATING LIQUOR IN VIOLATION OF SECTION 311.740,
311.270-001N202041,Liquor Laws,41,POSSESSION OF INTOXICATING LIQUOR WHEN LICENSED TO SELL MALT LIQUOR ONLY,
311.280-001N202041,Liquor Laws,41,PURCHASING LIQUOR FROM SOMEONE OTHER THAN WHOLESALER,
311.196-001N202041,Liquor Laws,41,SELL 32 OUNCES OR MORE OF BEER IN VIOLATION OF THIS SECTION,
311.200-001N202041,Liquor Laws,41,COMSUMPTION OF LIQUOR ON PREMISES WHERE SOLD,
311.490-001N202041,Liquor Laws,41,BREW/MANUFACTURE/SELL BEER OR MALT LIQUOR WHEN INGREDIENTS ARE NOT IN COMPLIANCE WITH THE STANDARDS IN SECTION 311.490,
311.100-001N202041,Liquor Laws,41,SALE BY THE DRINK WITHOUT LICENSE ORIGINAL PACKAGE,
311.550-001Y202041,Liquor Laws,41,SELLING LIQUOR WITHOUT PAYMENT OF ADDITIONAL REVENUE CHARGE OR WITHOUT LICENSE,
311.550-002N202041,Liquor Laws,41,FAILURE TO DESTROY EMPTY LIQUOR CONTAINERS,
311.050-001N202041,Liquor Laws,41,MANUFACTURE LIQUOR WITHOUT PROPER LICENSE,
311.410-001Y202041,Liquor Laws,41,TRANSPORT OF ILLEGALLY MANUFACTURED LIQUOR - TRANSPORTED WITHOUT REQUIRED FEE OR LICENSE,
311.330-001N202041,Liquor Laws,41,POSSESSION OF LIQUOR NOT AUTHORIZED IN LICENSE,
311.333-001N202041,Liquor Laws,41,FAIL TO PROVIDE INFORMATION REGARDING LIQUOR AS REQUIRED BY THIS SECTION,
311.335-001N202041,Liquor Laws,41,OFFER TO SELL OR PURCHASE CLOSE-OUT LIQUOR MERCHANDISE IN VIOLATION OF THIS SECTION,
311.338-001N202041,Liquor Laws,41,VIOLATION OF WHOLESALE PRICE REGULATIONS,
574.010-002Y202053,Peace Disturbance,53,PEACE DISTURBANCE - 1ST OFFENSE,
574.040-001Y202053,Peace Disturbance,53,UNLAWFUL ASSEMBLY,
311.450-001Y202041,Liquor Laws,41,TRANSPORTING LIQUOR WITHOUT BILL OF LADING OR PROOF OF SHIPMENT,
311.420-001Y202041,Liquor Laws,41,CARRYING LIQUOR WITHOUT TRANSPORTER'S LICENSE,
574.035-003Y202053,Peace Disturbance,53,DISRUPT A HOUSE OF WORSHIP - 1ST OFFENSE,
115.631-002Y202059,Election Fraud,59,COMMITTED CLASS ONE ELECTION OFFENSE,
115.405-001Y202059,Election Fraud,59,CLASS ONE ELECTION OFFENSE - MAKE FALSE SWORN STATEMENT/AFFIDAVIT/STATEMENT OF CANDIDACY OR SIGN SUCH DOCUMENTS KNOWING STATEMENT IS UNTRUE,
115.633-001Y202059,Election Fraud,59,COMMITTING CLASS TWO ELECTION OFFENSES,
115.635-001N202059,Election Fraud,59,COMMITTING CLASS THREE ELECTION OFFENSES,
115.205-001N202059,Election Fraud,59,CLASS THREE ELECTION OFFENSE - VOTER REGISTRATION SOLICIT OR KNOWINGLY FAIL TO REGISTER WITH SECRETARY OF STATE,
115.637-001N202059,Election Fraud,59,COMMITTING CLASS FOUR ELECTION OFFENSES,
